"filename", "language", "JSON with Comments", "JSON", "Properties", "LEC", "HTML", "GDScript", "Markdown", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Config\dynamic subtitles.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Game elements\Personal\ACTOR RACE Fairy.lec", "LEC", 0, 0, 0, 27, 0, 0, 0, 8, 21, 56
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileMaps\Special\DebugCompass.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileMaps\Special\Template.json", "JSON", 0, 189, 0, 0, 0, 0, 0, 0, 0, 189
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileMaps\Special\devroom.json", "JSON", 0, 113, 0, 0, 0, 0, 0, 0, 0, 113
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileMaps\beta Maps\Suburban_One.json", "JSON", 0, 138, 0, 0, 0, 0, 0, 0, 0, 138
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileMaps\experimental tilemap.json", "JSON", 0, 138, 0, 0, 0, 0, 0, 0, 0, 138
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\00_Terrain.json", "JSON", 0, 1285, 0, 0, 0, 0, 0, 0, 0, 1285
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\01_Indoors.json", "JSON", 0, 1995, 0, 0, 0, 0, 0, 0, 0, 1995
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\02_POI.json", "JSON", 0, 527, 0, 0, 0, 0, 0, 0, 0, 527
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\03_General.json", "JSON", 0, 535, 0, 0, 0, 0, 0, 0, 0, 535
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\04_Marker.json", "JSON", 0, 354, 0, 0, 0, 0, 0, 0, 0, 354
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\05_Nature.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 85
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\06_Decoration.json", "JSON", 0, 1454, 0, 0, 0, 0, 0, 0, 0, 1454
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\07_Security.json", "JSON", 0, 1050, 0, 0, 0, 0, 0, 0, 0, 1050
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\08_Conditions.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\JSON\09_Shop.json", "JSON", 0, 719, 0, 0, 0, 0, 0, 0, 0, 719
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\New Tiled\TileSets\all.tres", "Properties", 0, 0, 2143, 0, 0, 0, 0, 0, 3, 2146
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileMaps\experimental tilemap.json", "JSON", 0, 138, 0, 0, 0, 0, 0, 0, 0, 138
