Date : 2021-11-05 04:16:20
Directory : c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition
Total : 1192 files,  162098 codes, 2660 comments, 86161 blanks, all 250919 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| HTML               |        266 |     90,584 |         59 |     71,910 |    162,553 |
| Properties         |         87 |     34,303 |         11 |      3,396 |     37,710 |
| JSON               |         82 |     21,566 |          0 |        461 |     22,027 |
| GDScript           |        463 |     10,159 |      1,177 |      8,122 |     19,458 |
| Markdown           |        193 |      3,522 |          0 |      1,671 |      5,193 |
| JavaScript         |         75 |        620 |      1,064 |         86 |      1,770 |
| CSS                |         12 |        599 |        114 |        224 |        937 |
| Rust               |          7 |        338 |          3 |        185 |        526 |
| XML                |          3 |        201 |          0 |          0 |        201 |
| YAML               |          2 |        136 |          0 |         72 |        208 |
| JSON with Comments |          1 |         69 |        232 |         33 |        334 |
| Shell Script       |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |      1,192 |    162,098 |      2,660 |     86,161 |    250,919 |
| Config                                                                                                                                                       |          7 |        312 |          0 |         72 |        384 |
| Config\savestate                                                                                                                                             |          4 |        137 |          0 |         61 |        198 |
| Config\savestate\one                                                                                                                                         |          2 |         72 |          0 |         30 |        102 |
| Config\savestate\quickStart                                                                                                                                  |          2 |         65 |          0 |         31 |         96 |
| DevCLI                                                                                                                                                       |          8 |        339 |          3 |        186 |        528 |
| DevCLI\src                                                                                                                                                   |          7 |        338 |          3 |        185 |        526 |
| GameData                                                                                                                                                     |         64 |     25,402 |          0 |        348 |     25,750 |
| GameData\Alecandria                                                                                                                                     |         12 |      1,461 |          0 |        154 |      1,615 |
| GameData\Alecandria\Forms                                                                                                                               |          7 |        149 |          0 |         75 |        224 |
| GameData\Alecandria\Syntax                                                                                                                              |          2 |        275 |          0 |          2 |        277 |
| GameData\Game elements                                                                                                                                       |         15 |        459 |          0 |         95 |        554 |
| GameData\Game elements\Stable                                                                                                                                |         15 |        459 |          0 |         95 |        554 |
| GameData\Game elements\Stable\Actor_RNG_Templates                                                                                                            |          1 |         16 |          0 |          7 |         23 |
| GameData\Game elements\Stable\Kits                                                                                                                           |         14 |        443 |          0 |         88 |        531 |
| GameData\Game elements\Stable\Kits\Magic                                                                                                                     |          7 |        200 |          0 |         33 |        233 |
| GameData\Game elements\Stable\Kits\Magic\Infusion                                                                                                            |          1 |         35 |          0 |          3 |         38 |
| GameData\Game elements\Stable\Kits\Magic\Infusion\Mod                                                                                                        |          1 |         35 |          0 |          3 |         38 |
| GameData\Game elements\Stable\Kits\Magic\Spell                                                                                                               |          6 |        165 |          0 |         30 |        195 |
| GameData\Game elements\Stable\Kits\Magic\Spell\Mod                                                                                                           |          6 |        165 |          0 |         30 |        195 |
| GameData\Game elements\Stable\Kits\Matrix                                                                                                                    |          4 |        129 |          0 |          8 |        137 |
| GameData\Game elements\Stable\Kits\Matrix\Cyberware                                                                                                          |          2 |         52 |          0 |          8 |         60 |
| GameData\Game elements\Stable\Kits\Matrix\Cyberware\Mod                                                                                                      |          2 |         52 |          0 |          8 |         60 |
| GameData\Game elements\Stable\Kits\Matrix\Hack                                                                                                               |          2 |         77 |          0 |          0 |         77 |
| GameData\Game elements\Stable\Kits\Matrix\Hack\Mod                                                                                                           |          2 |         77 |          0 |          0 |         77 |
